2023-04-25 14:21:07, 968
2023-04-25 14:21:44, 505
2023-04-25 14:22:13, 13
2023-04-25 14:22:15, 665
2023-04-25 14:22:21, 308
2023-04-25 14:33:36, 154
2023-04-25 14:33:36, 970
2023-04-25 14:33:36, 338
2023-04-25 14:33:36, 675
2023-04-25 14:33:37, 871
2023-04-25 14:33:37, 553
2023-04-25 14:33:37, 571
2023-04-25 14:33:38, 425
2023-04-25 14:33:38, 955
2023-04-25 14:33:38, 101
2023-04-25 14:33:38, 382
2023-04-25 14:33:38, 352
2023-04-25 14:33:38, 934
2023-04-25 14:34:02, 357
2023-04-25 14:34:03, 49
2023-04-25 14:34:05, 398
2023-04-25 14:34:07, 970
2023-04-25 14:34:08, 707
2023-04-25 14:34:11, 102
2023-04-25 14:34:12, 398
2023-04-25 14:35:05, 554
2023-04-25 14:35:23, 257
2023-04-25 14:35:23, 115
2023-04-25 14:35:23, 804
2023-04-25 14:35:23, 539
2023-04-25 14:35:24, 875
2023-04-25 14:35:24, 871
2023-04-25 14:35:24, 77
2023-04-25 14:35:25, 952
2023-04-25 14:35:25, 77
2023-04-25 14:35:25, 387
2023-04-25 14:35:26, 105
2023-04-25 14:35:26, 381
2023-04-25 14:35:26, 381
2023-04-25 14:35:27, 21
2023-04-25 14:35:27, 216
2023-04-25 14:35:28, 7
2023-04-25 14:35:28, 69
2023-04-25 14:37:10, 87
2023-04-25 14:37:11, 206
2023-04-25 14:37:11, 383
2023-04-25 14:37:11, 618
2023-04-25 14:37:12, 368
2023-04-25 14:37:12, 421
2023-04-25 14:37:12, 593
2023-04-25 14:37:13, 489
2023-04-25 14:37:18, 791
2023-04-25 14:37:18, 355
2023-04-25 14:37:19, 949
2023-04-25 14:37:19, 992
2023-04-25 14:37:19, 138
